line,obstacle,stance,flip,270 in,180 in,180 out,name,video,shoecolor,shoe,headwearcolor,headwear,pantscolor,pants,topcolor,top
1,flat,3,flip,,,,nollie fs flip,AprilSkateboardsProPart,gray,janoski slipon,,,black,jeans,grey,sweatshirt
1,gap,1,heel,,,,sw bigspin heel,AprilSkateboardsProPart,gray,janoski slipon,,,black,jeans,grey,sweatshirt
2,rail,1,,,yes,,sw bs 180 nosegrind,AprilSkateboardsProPart,pure platinum gum,janoski,,,black,jeans,white,hoodie
3,ledge,3,,,,yes,nollie nosegrind bs 180,AprilSkateboardsProPart,grey white gum,janoski velcro,,,olive,cargos,white,sweatshirt
3,gap,2,,,,,full cab,AprilSkateboardsProPart,grey white gum,janoski velcro,,,olive,cargos,white,sweatshirt
4,gap,0,,,,,ollie,AprilSkateboardsProPart,pure platinum gum,janoski,,,black,jeans,olive,overshirt
5,ledge,0,,,,,fs tail,AprilSkateboardsProPart,black white,janoski slipon,,,black,jeans,yellow,hoodie
6,rail,0,,,,,fs bigspin board,AprilSkateboardsProPart,grey white gum,janoski velcro,,,black,jeans,black,hoodie
7,rail,3,,,,,nollie 5-0,AprilSkateboardsProPart,black white,janoski slipon,,,light blue,jeans,black,tshirt
7,flat,0,,,,,ollie,AprilSkateboardsProPart,black white,janoski slipon,,,light blue,jeans,black,tshirt
7,rail,0,,,,,bs lip,AprilSkateboardsProPart,black white,janoski slipon,,,light blue,jeans,black,tshirt
8,ledge,2,,,yes,,halfcab crook,AprilSkateboardsProPart,grey white gum,janoski velcro,,,navy,chinos,grey,hoodie
8,ledge,3,heel,,yes,yes,nollie fs crook bs heel,AprilSkateboardsProPart,grey white gum,janoski velcro,,,navy,chinos,grey,hoodie
9,ledge,1,flip,,,yes,sw crook halfcab flip ,AprilSkateboardsProPart,grey white gum,janoski velcro,,,olive,cargo,white,sweatshirt
10,rail,3,,,,,nollie fs nose,AprilSkateboardsProPart,black white,shane,,,black,jeans,white,tshirt
11,manual,3,heel,,,,nollie inward heel,AprilSkateboardsProPart,grey white gum,janoski velcro,white green,cap,brown,chinos,black,tshirt
12,rail,0,,,,,bs feeble,AprilSkateboardsProPart,black white,janoski slipon,,,black,jeans,olive,overshirt
13,rail,0,,,,,fs feeble,AprilSkateboardsProPart,grey white gum,janoski velcro,,,black,cargos,navy,sweatshirt
14,rail,1,,,yes,,sw fs 180 to crook,AprilSkateboardsProPart,black white,janoski slipon,,,black,jeans,navy,tshirt
15,rail,3,,,yes,,nollie bs 180 sw fs 50 ,AprilSkateboardsProPart,black white,janoski slipon,,,black,jeans,black,tshirt
