date,event,location,score,standing,section,clip,obstacle,stance,name,flip,270 in,180 in,180 out,shoes,extra
"Jun 1, 2019",XGames,"Shanghai, China",,,run,1,rail,0,bs smith,,,,,j,
"Jun 1, 2019",XGames,"Shanghai, China",,,run,2,transition,0,bs disaster,,,,,j,
"Jun 1, 2019",XGames,"Shanghai, China",,,run,3,rail,0,bs feeble 180 out,,,,yes,j,
"Jun 1, 2019",XGames,"Shanghai, China",,,run,4,transition,2,halfcab blunt fs 180,,,yes,yes,j,
"Jun 1, 2019",XGames,"Shanghai, China",,,run,5,rail,3,nollie fs 270 to sw bs lip,,yes,,,j,
"Jun 1, 2019",XGames,"Shanghai, China",,,run,6,bank,0,treflip,flip,,,,j,
"Jun 1, 2019",XGames,"Shanghai, China",,,run,7,transition,2,full cab,,,,,j,
"Jun 1, 2019",XGames,"Shanghai, China",90,3rd,run,8,rail,3,nollie bs 180 to sw fs feeble,,,yes,,j,lost to nyjah and dashawn
"July 28, 2019",SLS,"Los Angeles, California",,,run,1,ledge,1,sw fs tail,,,,,j,
"July 28, 2019",SLS,"Los Angeles, California",,,run,1,ledge,3,nollie fs 180 to sw crook ,,,yes,,j,
"July 28, 2019",SLS,"Los Angeles, California",,,run,1,bank,0,ollie,,,,,j,
"July 28, 2019",SLS,"Los Angeles, California",,,run,1,rail,3,nollie fs 270 to sw bs lip,,yes,,,j,
"July 28, 2019",SLS,"Los Angeles, California",,,run,1,flat,1,sw heel,heel,,,,j,
"July 28, 2019",SLS,"Los Angeles, California",,,run,1,gap,0,bs 360,,,,,j,
"July 28, 2019",SLS,"Los Angeles, California",,,run,1,rail,0,fs feeble,,,,,j,
"July 28, 2019",SLS,"Los Angeles, California",,,run,1,bank,0,treflip,flip,,,,j,
"July 28, 2019",SLS,"Los Angeles, California",9.3,,run,1,ledge,3,nollie heel noseslide,heel,,,,j,
"July 28, 2019",SLS,"Los Angeles, California",0,,best trick,2,ledge,3,nollie fs 270 to sw bs tail,,yes,,,j,
"July 28, 2019",SLS,"Los Angeles, California",9,,best trick,3,ledge,3,nollie fs 270 to sw bs tail,,yes,,,j,
"July 28, 2019",SLS,"Los Angeles, California",0,,best trick,4,ledge,3,nollie bs 270 to bs nose,,yes,,,j,
"July 28, 2019",SLS,"Los Angeles, California",9.4,,best trick,5,ledge,3,nollie bs 270 to bs nose,,yes,,,j,
"July 28, 2019",SLS,"Los Angeles, California",0,1st,best trick,6,ledge,1,sw bs 180 to nosegrind,,,yes,,j,
"Aug, 3, 2019",XGames,"Minneapolis, California",,,run,1,ledge,3,nollie fs 180 to sw bs 50 to reg,,,yes,yes,j,
"Aug 3, 2019",XGames,"Minneapolis, California",,,run,1,rail,3,nollie bs noseblunt,,,,,j,
"Aug 3, 2019",XGames,"Minneapolis, California",,,run,1,rail,0,fs blunt,,,,,j,
"Aug 3, 2019",XGames,"Minneapolis, California",,,run,1,gap,0,treflip,flip,,,,j,
"Aug 3, 2019",XGames,"Minneapolis, California",,,run,1,ledge,3,nollie bs 270 to bs nose,,yes,,,j,
